Function Name,Defined In,Called In
InitObject,object_manager.c,"object_manager.h, object_manager.c, object_editor.c"
InitRayTracingScene,ray_tracing2.c,"ray_tracing2.c, ray_tracing2.h, animation.c, ray_tracing2 copy.c, ray_tracing2 copy.h, animation copy.c"
InitializeBezierEditor,bezier_editor.c,"scene_editor.c, bezier_editor.c, bezier_editor.h"
InitializeCameraEditor,Unknown,camera_editor.h
InitializeMenu,sdl_menu.c,sdl_menu.c
InitializeObjectEditor,object_editor.c,"object_editor.h, scene_editor.c, object_editor.c"
InitializeSceneEditor,scene_editor.c,"sdl_menu.c, scene_editor.c, scene_editor.h"
IsClickingButton,object_editor.c,object_editor.c
IsClickingButtonBezier,bezier_editor.c,bezier_editor.c
IsClickingButtonMain,scene_editor.c,"scene_editor.c, scene_editor.h, bezier_editor.c, object_editor.c"
IsInsideHandle,Unknown,object_editor.h
